Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C7",0603,4,22uF,C96446 
"C10, C3, C4, C5, C8, C9",0603,6,0.1uF, C14663 
"D1, D2, D3",D_SOD-323,3,1N4148WS,C2128
"FID1, FID2, FID3",Fiducial_1mm_Mask2mm,3,Fiducial,
J1,TestPoint_Pad_1.0x1.0mm_6pad,1,Conn_01x06_Pin,
J2,JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,1,Conn_01x14_Pin,C265421
JP1,0603,1,Jumper_2_Open,
"K1, K2, K3",Relay_DPDT_Omron_G6K-2P-Y,3,G6K-2P-Y,C80087
Q1,0603,1,Q_Photo_NPN,C146233
"R1, R10, R11, R12, R2, R3, R4, R5, R7, R8, R9",0603,11,10K,C25804
R6,0603,1,470,C23179
SW1,SW_SPST_B3U-1000P,1,SW_SPST,C231329
U1,SOT-23-5,1,SPX3819M5-L-5-0,C13417
U2,SOT-23-5,1,SPX3819M5-L-3-3,C9055
U3,ESP-12E,1,ESP-12F,C82891
U4,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,1,SHTC3,C194656
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003A,C7512
